id,order,title,subtitle,description,id_domain,id_grade,duration,caption,list of units ids,image file name
35,0,Cultural History Kindergarten,"Creation, Elemental Force, and Symbols","<p>This course introduces students to the classroom and the beginnings of the academic rigors of school. After an introduction to the functions and meanings of various signs and symbols as abstract systems that help humans make sense of the world, students explore the fundamental concepts of origins and change over time. The idea of change leads to an exploration of the changing seasons and their impact on the environment as well as students&rsquo; reflection on their own experience of those changes. After broadening students&rsquo; perspective to embrace the environment, the course focuses on a sensory-based exploration of the forces of earth, fire, air, and water in their own environment, which promotes a holistic way of viewing the world as well as understanding of the balance of the elements in the natural world and their own place in this complex, dynamic system. By beginning to grasp these concepts&mdash;symbols as tokens of meaning and understanding; the recurrence of change; a holistic view of the world and experience; and the place of humans in complex, dynamic systems&mdash;students receive a foundation on which to build future learning.</p>
",1,1,,,211|212|213|214,
70,1,English Kindergarten,,"<p>During their kindergarten studies, students are introduced to and build their knowledge of&nbsp;creation stories, elemental forces, seasonal changes and migration, and the concept of naming. At the same time, they&nbsp;further their love of literature and storytelling, while building basic skills&nbsp;through shared daily reading and writing experiences and small, guided reading groups.&nbsp;Students study the concept of beginnings and learn that every living organism has a beginning. As they examine the concept, students experience beginnings in&nbsp;fiction, nonfiction, and poetry and learn to make text-to-self connections.&nbsp;They engage in retelling, dramatizing, and discussing books and explore storytelling through drawing, dictation, and independent writing. Extending their studies of symbols from Cultural History, students investigate the concepts of letters representing sounds and different sounds working together to form words. They listen to the sounds they hear and experiment with phonetic spelling when they write, while increasing their awareness of sound/symbol correspondence.&nbsp;A formal handwriting program engages students in letter formation, while they&nbsp;practice asking questions, following directions, taking turns speaking, listening to classmates,&nbsp;and exploring the everyday world with one another.</p>
",10,1,,,368|369|370|371,
31,2,Science Kindergarten,,"<p>In Kindergarten, the world&nbsp;is explored&nbsp;by engaging in scientific inquiry through nature walks, exploration, and discovery. Students learn that scientists collect data and form hypotheses based on observations and experimentation and&nbsp;then applying this scientific approach to the&nbsp;study of&nbsp;elemental forces of nature: earth, fire, air, and water. Through planting and harvesting, the young scientists explore how Earth breeds plant life. They investigate opposite forces: light and dark, heat and cold, and high and low. Students deepen their understanding of origins by exploring creation stories from around the world, and they address their own birth stories to understand personal journeys of growth and change.</p>
",4,1,,,280|281|282,
46,3,Mathematics Kindergarten,,"<p>Students in kindergarten explore numbers in real-world situations. In conjunction with the symbols component of their Cultural History curriculum, they identify numerals and begin grouping, comparing, rote counting, and understanding one-to-one correspondence. In addition, they apply their newly-learned measurement skills&nbsp;to determine length and mass&nbsp;in their integrated project as well as to their study of elemental forces and seasons. After collecting data, they display&nbsp;and compare it using simple bar graphs, and then they use the data to make estimations and predictions. Through exploration with math manipulatives and other tools, kindergarten students study the attributes of different objects, including two- and three-dimensional figures, and learn to verbalize comparisons of numbers and measures with phrases such as bigger than,&nbsp;lighter than,&nbsp;slower than,&nbsp;and the same as.&nbsp;They also recognize, copy, and extend patterns involving shapes, letters, and numbers.</p>
",3,1,,,324|325|326|327,
47,4,Media Studies and Technology Kindergarten,,"<p>Kindergarten students begin their exploration of media exploring the five senses. Spending time in the natural ecosystems in their surrounding areas and the school garden, students immerse themselves in the sights, smells, sounds, and tastes of nature. They explore light and dark as they imagine the ways day and night impact life. Students then extend their explorations of light and nature by making sun prints of items found in their outdoor explorations. They integrate Cultural History by exploring various cultures&#39; use of shadow puppets before making their own. Using their observations of the natural world, kindergarten students create a &ldquo;magic forest&rdquo; where they use camouflage and movement to relate with nature and communicate with each other.</p>

<p>Students then move on to studying various types of symbols as forms of communication. Using colors, pictures, letters, and gestures, they understand how people communicate in many ways. Finally, students use their symbols, and then words, to compose stories about the magic forest.</p>
",5,1,,,248,
61,5,Visual Arts Kindergarten,,"<p>As students explore the origins of life, creations, birth stories, signs and symbols, seasonal changes, and the elements (earth, air, fire, and water) in Cultural History and Science, they use a variety of art materials both to build understanding and to extend expression through two- and three-dimensional media. In application of their understanding from their other courses, students use visual arts to create representations of symbols they find in their world, create illustrations for stories, and images of the four elements (earth, air, fire, and water). To complement their study of stories in World Languages and Literature: English, students use artistic expressions to communicate stories visually. As students investigate a variety of art media such as clay, paint, and weaving with natural materials, they explore how art can show the interaction between humans and the natural world.</p>
",7,1,,,453|454|477,
100,6,Performing Arts: Music / Theater Kindergarten,,"<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}"">In Performing Arts: Music, kindergarten students continue their study of beginnings, creation and the world around them&nbsp;through engagement in nursery rhymes and lullabies. In relation to their study of the elemental forces of air, water, earth, and fire in Science, they explore breath and how it contributes to the making of music. Students listen for the different attributes of music, in much the same way that they identify attributes of shapes in Mathematics. Based on these attributes, they explore their emotional response to a song, applying their skills from Visual Arts to draw their interpretation of the music they hear. As part of their integrated project with Cultural History, students discover the soothing effect of lullabies, which people sing to babies around the world. While practicing lullabies and nursery rhymes, students experience the joy music brings to the spirit; they then bring joy to others through a culminating performance.</p>

<p move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}""><br move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}"" />
Theater is an imagined world that comes to life as students explore and learn about their lives. Progressing from natural play to an artistic discipline, kindergarten students become aware of theatrical storytelling. After developing an awareness of their bodies and movements, students listen to stories and focus on how a storyteller uses body gestures and facial expressions to convey emotion. They use their mind, body, and spirit to give rise to a creativity that expresses personal and cultural beliefs, such as creation myths like the ones studied in Cultural History. Being trained through theater games and exercises, students gain confidence in their ability to express their stories, and their repertoire expands to include choreographed dance&nbsp;productions. In conjunction with Science and Cultural History, students use improvisational skits, dance, and a culminating performance to present their understanding of the elemental forces of the natural world.</p>
",6,1,,,457|458,
45,7,Wellness Kindergarten,,"<p>Students explore how storytelling, signs and signals, and the basic Earth elements can be applied to wellness through movement in  a variety of fitness activities. They perform fundamental locomotor (running, hopping, skipping, jumping, leading, sliding, and galloping) and nonlocomotor (bending, twisting, turning, rocking, swaying, balancing, stretching, pushing, and pulling) skills. Students explore elementary skills of manipulating simple objects with purposeful movement (throwing, catching, striking, kicking, bouncing, and rolling). Students learn classroom and playground safety rules through signs and symbols as they enter the wellness classroom for the first time. Storytelling through dance is explored as students put movement to music, and students explore the element of air as it applies to respiration and movement. Units include social skills, fitness, movement qualities, and manipulatives, as well as nutritional studies and the basic needs of both plants and animals. Integrating Wellness studies with other domains, students explore patterns of movement and how elemental forces change and alter the environment around us. In addition to the three main integrated units, ample time is provided between units for cultural- and population-specific movement, dance, and skills. Time is available to develop life skills appropriate to a kindergarten student, such as hygiene, disease prevention, developing communication and listening skills, building self esteem, and practicing safe and healthy daily behaviors.</p>
",8,1,,,259|260|261,
28,8,Cultural History Grade 1,Patterns and Cycles,"<p>Grade 1 students&nbsp;spend the year discovering predictable patterns and cycles in the world and explore them through nature study, rhyme, music, art, movement, and mathematics. They learn that naming, numbering, listing, cataloging, and remembering make the things around them distinct. They memorize poems and songs from around the globe and are introduced to geography and place names. They engage in units focused on the life cycles of specific plants and animals and on their unique characteristics&nbsp;and patterns. They compare their studies of life cycles of living organisms to nonliving cycles, such as seasonal cycles, rock cycle, and the water cycle,&nbsp;and then use the information and knowledge from these explorations to study human&mdash;created cycles for reducing, reusing, and recycling. Students&nbsp;in grade 1 also discover that tools and instruments&nbsp;pencils, paint brushes, levers, hammers, drums, chimes&mdash;are extensions of their bodies and minds that help them to create, describe, and share their world.&nbsp;It is a year of discovery and organization and of understanding the predictability of the natural world.</p>
",1,2,,,297|298|299|300,
114,9,English Grade 1,Patterns and Cycles,"<p>Grade 1 students research and identify important patterns used in reading and writing in order to&nbsp;create literature, spell words, and write poetry. They develop an awareness of story structure, main idea, and characters, while learning to put sounds together to read words themselves. Using their knowledge of sounds and letters, as well as patterns in words, they begin to develop and identify both familiar and unfamiliar words and use classroom resources, such as charts and word walls to help with spelling. Investigating natural patterns and cycles in Cultural History and Science helps students build their vocabulary, and,&nbsp;as they follow those themes through a variety of reading and writing genres, they learn to make connections by comparing a variety of genres.&nbsp;As they discover, understand, and explore patterns within words, in punctuation, and in literature genres, students gain appreciation that patterning is a valuable&nbsp;method for organizing the world around them.</p>
",10,2,,,439|440|441|442|443,
