id,order,grade_name,title,description,date start,date finish,associated ecology,caption,associated mentality,image file name
1,1,Kindergarten,"Creation, Elemental Force, and Symbols","<p>Kindergarten at Ross School is a time of origin, of new beginnings. Science, myth, rituals, art, tools, and understanding are completely integrated in a course of study that includes creation stories from around the world; elemental forces; opposites of light and dark, high and low, visible and invisible; the wonder of symbols, letters, numbers, and naming; and the Sun, Moon, and stars. Kindergarten students engage in and learn about the world around them through song, dance, drawing and painting, storytelling, thematic play, nature walks, and hands-on learning. They practice social skills and experience joy and enchantment as they explore the everyday world with one another.</p>
",-4500000000,-25000000,,"<p>Bogdan Wankowicz/Shutterstock.com</p>
",,Beginnings_SeedGrowth.jpg
2,2,Grade 1,Patterns and Cycles,"<p>Students in first grade discover predictable patterns in the world and explore them through nature study, rhyme, music, art, movement, and mathematics. From tree rings, to animal markings, to the flow of water, students appreciate that patterning is a way of organizing the world around them. Patterns are understood through all the senses as students actively engage with nature and interact socially. Through cultural studies, students become aware of ritualistic patterns that characterize a culture&rsquo;s celebrations and values, animated by dance and song. Students discover that patterns are dynamic and appear in many forms. Students also learn that patterns sometimes organize themselves into cycles (for example, calendars, the water cycle, butterfly life cycles) and begin to recognize various phases and the transformative wonder of an individual element. Students discover that tools and instruments are extensions of their bodies and minds that help them create, describe, and share their world.</p>
",-4500000000,-25000000,,"<p>sspopovShutterstock.com</p>
",,Tree_Rings.jpg
3,3,Grade 2,Systems,"<p>The evolution from creation, to creatures, to the self, active in the world, unfolds as students in second grade connect origins and elemental forces to patterns and then to systems. Students feel a strong sense of self and an enhanced sense of adequacy in their world at this age. Whether riding a bicycle around the neighborhood or hitting a baseball with a bat, sports and technology become a presence in their lives. They experience the dyads of study and play, self and instrument, and self and team on a daily basis and explore the dynamics of systems, including the Solar System, Earth systems, weather systems and ecosystems. Students can observe and accept how the class itself becomes an ecosystem of diversity, with one child expressing one gift, another a quite different gift, and so on. Students understand how the classroom system is an example of how groups can stabilize through diversity and how patterns of systemic self-organization can create cultures of cooperation, respect, and mutual development.</p>
",-4500000000,-25000000,,"<p><span style=""font-family: arial, sans, sans-serif; font-size: 13px; line-height: normal; white-space: pre-wrap;"">Image created by Reto St&ouml;ckli, Nazmi El Saleous, and Marit Jentoft-Nilsen, NASA GSFC</span></p>
",,Nasa_Earth.jpg
4,4,Grade 3,Evolution of Life on Earth,"<p>Third grade students explore the development of human society from hunting and gathering bands to Ice Age settlements such as Dolni Vestonice. Students begin to develop an awareness that the self is situated in a world and that time itself is part of the process of their own empowerment and unfoldment in the world. A strong sense of justice and fair play arises as students articulate Self and Other in a growing sense of a moral order. Students explore the origins of art, symbolic signs, and religion as they developed together with the rise of human bands and Ice Age settlements.</p>
",-25000000,-10000,1|2|3,"<p>Argentina, Patagonia, Cueva de las Manos, (&#39;Cave of Hands&#39;), cave paintings / De Agostini Picture Library / Bridgeman Images</p>
",5,CavePainting_CaveofHands_3bbef45506c90f02f2219ef1e4367b91.jpg
5,5,Grade 4,"Social Systems, Early Settlements, and Agriculture","<p>Fourth graders study the transition from hunter and gatherer societies to agrarian societies through in-depth exploration of early human settlements such as Jericho, &Ccedil;atalh&ouml;y&uuml;k, and Banpo. They follow the movement of peoples from Africa, to Eurasia, to Europe, to the Americas, and Australia. Students examine both the beginnings of cultural diversification as well as the reasons for, and cultural ramifications of, immigration. They analyze architecture as shelter and sacred space, as in G&ouml;bekli Tepe, and continue to explore the art of early peoples they encountered in third grade. Archaeoastronomy is investigated through the study of megalithic structures and their relationship to time, worship, and ritual. With storytelling as history, they learn about clans and neolithic societies, the role of women in early matristic cultures, and the culture and iconography of the goddess. Students in fourth grade study the first food crops, food storage, and the domestication of animals, as well as related plant biology, ecology, and contemporary agricultural practices throughout the world</p>
",-10000,-3500,4,"<p>&copy; Images &amp; Stories / Alamy Stock Photo</p>
",5,CatalHoyouk_Illustration_Cropped.jpg
6,6,Grade 5,The Rise of Riverine Civilizations,"<p>With the gradual evolution from village gardening under the guidance of women  to city-state agriculture with its male-driven oxen, plows, and state-controlled systems of irrigation, there occurred a coevolution from oral traditions and custom-based forms of matristic authority to political systems of power. Within this new system, literate priests and organized warriors restructured society in a formation scholars term &ldquo;civilization.&rdquo; This transformation of culture involved a shift from shamanism to organized religion. It also involved a shift from the generative values of procreation and numeration, embodied in the icon of the Great Goddess and the prehistoric Arithmetic mentality, to a more abstract Geometric mentality. The latter became embodied in writing, temple architecture, and astronomy, all three of which were articulated in the new system of male power and written laws controlled by high priests and military leaders.</p>
",-3500,-1450,5,"<p><span style=""font-family: arial, sans, sans-serif; font-size: 13px; line-height: normal; white-space: pre-wrap;"">Todd Bolen/BiblePlaces.com</span></p>
",5|6,Egypt_NileRiver.jpg
7,7,Grade 6,Prophecy and Cultural Transformation,"<p>The rise of monumental architecture, temple-monopolized systems of writing, and standing armies led to a rigid and crystallized state of permanent war, but the appearance of new and more portable systems of writing spread by a new merchant and trading class enabled individuals to adopt cross-cultural values, share ideas, and question the validity of the values of the warrior and the high priest. This articulation of a new ideal beyond the real conditions of political society interacted with the globally spreading Geometric mentality as individual teachers energized a shift from ancient religions to classical philosophies and mathematics.</p>
",-1450,-356,6,"<p>Aurelio Wieser/Shutterstock.com</p>
",6,TempleOf_Concordia.jpg
8,8,Grade 7,World Empires and Universal Religions,"<p>An empire expands in an effort to extend its political boundaries to become congruent with the peripheral boundaries of the natural resources that support the central ruling society. As trade and commerce help to circulate these resources, a new commercial class interacts with the military class to stabilize these systems of distribution. To legitimize the validity of the imperial power, a new institution, the Imperial School, is founded to rationalize physical force by a transcultural moral order. In the transformation of the charisma of an individual prophet to the routine of a school or a society, new universal religions arise in which the members are not restricted to the tribal identity of the founding prophet.</p>
",-356,800,6,"<p>The Alexander Mosaic, detail depicting Alexander the Great (356-323 BC) at the Battle of Issus against Darius III (399-330 BC) in 333 BC (mosaic) (detail of 154003), Roman, (1st century BC)/Museo Archeologico Nazionale, Naples, Italy/Bridgeman Images</p>
",6,Alexander_Alexander_Mosaic.jpg
9,9,Grade 8,The Climax of Hierarchical Civilizations,"<p>Medieval civilizations were hierarchical societies that derived their identity from religious faith but based their social structures on land tenure, warrior status, and display. As competition and conflict arose among religious civilizations, new ideas were disseminated across boundaries, and new religious orders and mystical movements emerged that sought to relate the individual in an unmediated way to the source of the sacred. This shift from the temple-formed Geometric mentality to the individually experienced Algebraic mentality is expressed in new forms of literature that reveal an emphasis on the vision quest and the expression of personal and divine romantic love. It is also expressed in new forms of calligraphy, manuscript illumination, and mathematical understanding that demonstrate a shift from the concrete object or worldly state to a spiritual vision. This transcendental ideal is expressed in the celestial notation of the empowering script of alchemy and algebra.</p>
",800,1416,6,"<p><span style=""font-family: arial, sans, sans-serif; font-size: 13px; line-height: normal; white-space: pre-wrap;"">Macrocosm, from &#39;Zubdet ut Tevarih&#39; by Lokman, 1583 (vellum), Turkish School, (16th century) / Topkapi Palace Museum, Istanbul, Turkey / Bridgeman Images</span></p>
",7,IslamicAstrology_CelestialSphere_3e46eeba1d826c82628bf3b35dda6a20.jpg
10,10,Grade 9,The Emergence of the Modern Perspective,"<p>The archetypal idea for the ninth grade is movement, with a focus on the emergence of the Dynamical mathematical mentality articulating a new narrative for the nature of things, in which motion generates value. The motion of money through time produces interest; the motion of sailing vessels produces a new world; the motion of cannonballs destroys feudal fortifications and produces new strategic power; the motion of blood in circulation from the heart (and not the liver) sustains the life of the body; the motion of the heavenly bodies produces new scientific laws; and the motion of individuals out of their class produces a new identity of self in the formative picaresque story of a movement from rags  to riches. All of these epiphanies of movement constitute the cultural shift from medievalism to modernism, with the emergence of the new mathematics of motion in calculus and the mapping of a new world space in a global economy.</p>
",1416,1688,7,"<p>Jakub Krechowicz/Shutterstock.com</p>
",8,DaVinci_VitruvianMan.jpg
