id,order,le_type,as_type,title,description,date start,date finish,list of domain ids,image file name,video_url,caption
1426,,LE,,"<p>Introduction to the Ross Spiral Curriculum</p>
","<p>The purpose of this introduction to the Spiral Curriculum is to orient new students to the philosophy of Ross curricular study, provide a background and nomenclature for students entering the school in grade 9, and review former curriculum for returning students.</p>
",,,10|4|7,,,
1427,,LE,,"<p>Cartography as Artifact</p>
","<p>Students determine various cultures&rsquo; worldviews, values, and belief systems as embodied in their constructed maps.&nbsp;</p>
",,,5,,,
1428,,LE,,"<p>The Ming Dynasty and the Voyages of Zheng He</p>
","<p>Students work in groups to research the voyages of Zheng He, detailing the locations visited, the size of the fleet, and the reasons for voyaging.</p>
",,,10|7,,,
1429,,AS,SU,"<p>The Ming Dynasty Advisor Paper</p>
","<p>Students compose a letter advising the emperor how he should address exploration in light of the many issues facing the Ming Dynasty during the 1420s.</p>
",,,10,,,
1430,,LE,,"<p>Al-Andalus and the Reconquista: Isabella and Ferdinand and&nbsp;Christopher Columbus</p>
","<p>Students research the time of relative religious tolerance known as&nbsp;<em>la Convivencia&nbsp;</em>and determine how the Reconquista affected cultural and intellectual landscapes. Students then examine the role of religion in the exploration of the New World and how both the Reconquista and exploration positioned Spain as a European superpower.</p>
",,,10,,,
1431,,AS,FO,"<p>The Temple Massacre Project</p>
","<p>Students learn about narrative design and the heuristics historians use to chronicle events by examining and attempting to coordinate various accounts of a Spanish conquistador attack on an Aztec temple.</p>
",,,10,,,
1432,,LE,,"<p>The Spanish Conquest of the Inca in&nbsp;<em>Guns, Germs, and Steel</em></p>
","<p>Students use Jared Diamond&rsquo;s work to uncover how geography played a significant role in major historical events, particularly how 167 Spanish conquistadors were able to topple the vast Inca Empire.</p>
",,,10|4,,,
1433,,AS,SU,"<p>Voyages of Exploration Essay</p>
","<p>Students write a short essay demonstrating an understanding of the ways in which exploration transforms culture.</p>
",,,10,,,
1435,,LE,,"<p>The Origins of the Renaissance Geography Project</p>
","<p>Students trace the movement of knowledge, culture, and technology to Italy.</p>
",,,10|3|7,,,
1436,,LE,,"<p>Plato and Aristotle<br move=""function (old_index, new_index) {
    if (new_index &gt;= this.length) {
        var k = new_index - this.length;
        while ((k--) + 1) {
            this.push(undefined);
        }
    }
    this.splice(new_index, 0, this.splice(old_index, 1)[0]);
    return this; // for testing purposes
}"" />
&nbsp;</p>
","<p>Students examine Plato and Aristotle, both featured in Raphael&rsquo;s work, to understand how their philosophies and teaching were transferred across time.</p>
",,,10,,,
1437,,LE,,"<p>Byzantine and Islamic Empires</p>
","<p>Students examine the preservation of artistic and intellectual works in the Byzantine and Islamic Empires, contrasting this with the marginalization of the same works in the Catholic West.</p>
",,,7,,,
1438,,AS,FO,"<p>The Byzantine Empire Quiz</p>
","<p>Students complete a quiz on the history of the Byzantine Empire from its foundation, through the Great Schism, to its fall in 1453.</p>
",,,10,,,
1439,,LE,,"<p>The Great Schism, the Fourth Crusade, and the Fall of Constantinople</p>
","<p>Students read from the introduction to Roger Crowley&rsquo;s&nbsp;<em>1453: The Holy War for Constantinople and the Clash of Islam and the West</em>&nbsp;to discover the reasons for the rise in importance of ancient Greek scholars and the movement of their work through civilizations during this time.</p>
",,,3,,,
1440,,AS,FO,"<p>Aristotle Quiz</p>
","<p>Students complete a quiz on the survival of Greek texts and their reemergence in Western Europe after the Reconquest.</p>
",,,10,,,
1441,,LE,,"<p>Council of Florence</p>
","<p>Students briefly discuss the Council of Florence and the attempts by the Byzantines to reconcile with Roman Catholicism.</p>
",,,10,,,
1442,,LE,,"<p>Petrarchan Beauty and the Rise of Humanism</p>
","<p>Students study Petrarch as an example of the intellectual movement of the period and the birth of humanism.</p>
",,,10,,,
1443,,LE,,"<p>Renaissance Florence and the Platonic Academy</p>
","<p>Students investigate the political history of Florence through the lives of the Medici family, from Giovanni di Bicci to Lorenzo il Magnifico.</p>
",,,10|3|7,,,
1444,,AS,FO,"<p>The Medici Quiz</p>
",,,,7,,,
1445,,LE,,"<p>Film Viewing:&nbsp;<em>The Medici:</em> <em>Godfathers of the Renaissance</em></p>
","<p>In conjunction with their World Languages and Literature: English class, students view this PBS documentary tracing the rise of the influential Medici family in Italy.</p>
",,,10|4|3|7,,,
1447,,LE,,"<p>The Old Masters and the Use of Optics</p>
","<p>During this learning experience, students examine the controversial Hockney&ndash;Falco thesis, which states that many 15th-century artists used optics (in this case, mirrors and lenses) to create projections from which they would produce paintings. Students examine this technology firsthand using a&nbsp;<em>camera obscura</em>&nbsp;device to construct their own images. At the same time, they study Leonardo&rsquo;s discoveries in optics and perspective in Science.</p>
",,,4|7,,,
1448,,AS,SU,"<p>Painting and Experience Essay</p>
","<p>Based on topics presented in the book&nbsp;<em>Painting and Experience in Fifteenth-Century Italy</em>by Michael Baxandall, students write a one- to two-page, double-spaced essay on this topic.</p>
",,,10|7,,,
1449,,LE,,"<p>Erasmus and Luther</p>
","<p>Students contrast Erasmus&rsquo;s&nbsp;<em>The Education of a Christian Princ</em>e with Machiavelli&rsquo;s&nbsp;<em>The Prince</em>&nbsp;to understand how Humanism established itself in northern Europe. Students also examine the political, economic, and technological advances that led to the emergence of Martin Luther in particular, and the Protestant Reformation in general.</p>
",,,10|7,,,
1450,,AS,FO,"<p>Introduction to the Reformation Quiz</p>
","<p>Students complete a quiz on the Reformation.</p>
",,,10,,,
